@TIME_PERIOD,@OBS_VALUE
1978-01,13
1978-02,13
1978-03,13
1978-04,13
1978-05,13
1978-06,13
1978-07,13
1978-08,13
1978-09,13
1978-10,13
1978-11,13
1978-12,13
1979-01,13
1979-02,13
1979-03,13
1979-04,13
1979-05,13
1979-06,13
1979-07,13
1979-08,13
1979-09,13
1979-10,13
1979-11,13
1979-12,13
1980-01,13
1980-02,13
1980-03,13
1980-04,13
1980-05,13
1980-06,13
1980-07,13
1980-08,13
1980-09,13
1980-10,13
1980-11,13
1980-12,13
1981-01,13
1981-02,13
1981-03,13
1981-04,13
1981-05,13
1981-06,13
1981-07,13
1981-08,13
1981-09,13
1981-10,13
1981-11,13
1981-12,13
1982-01,13
1982-02,13
1982-03,13
1982-04,13
1982-05,13
1982-06,13
1982-07,13
1982-08,13
1982-09,13
1982-10,13
1982-11,13
1982-12,13
1983-01,13
1983-02,13
1983-03,13
1983-04,13
1983-05,13
1983-06,13
1983-07,13
1983-08,13
1983-09,13
1983-10,13
1983-11,13
1983-12,13
1984-01,13
1984-02,13
1984-03,13
1984-04,13
1984-05,13
1984-06,13
1984-07,13
1984-08,14
1984-09,15.299999999
1984-10,16
1984-11,16.799999999
1984-12,16.799999999
1985-01,16.799999999
1985-02,16.799999999
1985-03,16.799999999
1985-04,16.799999999
1985-05,16.799999999
1985-06,16.799999999
1985-07,16.799999999
1985-08,16.799999999
1985-09,17.799999999
1985-10,17.799999999
1985-11,17.799999999
1985-12,17.8
1986-01,17.8
1986-02,17.8
1986-03,17.8
1986-04,17.8
1986-05,17.8
1986-06,17.8
1986-07,17.8
1986-08,17.8
1986-09,19.8
1986-10,19.8
1986-11,19.8
1986-12,19.8
1987-01,19.8
1987-02,19.8
1987-03,22.75
1987-04,22.75
1987-05,22.75
1987-06,22.8
1987-07,22.8
1987-08,22.8
1987-09,22.8
1987-10,22
1987-11,20
1987-12,19.5
1988-01,20
1988-02,19.8
1988-03,19.97
1988-04,19.8
1988-05,19.7
1988-06,19.6
1988-07,19.6
1988-08,19.7
1988-09,19.6
1988-10,19.7
1988-11,19.8
1988-12,19.8
1989-01,19.9
1989-02,19.7
1989-03,19.8
1989-04,19.8
1989-05,19.8
1989-06,19.8
1989-07,19.8
1989-08,19.8
1989-09,19.9
1989-10,19.9
1989-11,19.9
1989-12,20
1990-01,20
1990-02,20
1990-03,20.5
1990-04,21
1990-05,21
1990-06,21
1990-07,21
1990-08,21.3
1990-09,21.7
1990-10,21.9
1990-11,24.5
1990-12,27.5
1991-01,30.2
1991-02,31.8
1991-03,32
1991-04,32
1991-05,32
1991-06,32
1991-07,32
1991-08,30.8
1991-09,30
1991-10,24
1991-11,24
1991-12,20
1992-01,18
1992-02,18
1992-03,18
1992-04,18
1992-05,18
1992-06,18
1992-07,18
1992-08,18.47
1992-09,19.28
1992-10,20.38
1992-11,22.98
1992-12,25.41
1993-01,28
1993-02,28
1993-03,29.72
1993-04,29.72
1993-05,32
1993-06,32
1993-07,32
1993-08,32
1993-09,32
1993-10,32
1993-11,32
1993-12,32
1994-01,27
1994-02,27
1994-03,27
1994-04,27
1994-05,27
1994-06,27
1994-07,27
1994-08,27
1994-09,28.61
1994-10,28.99
1994-11,29.48
1994-12,29.5
1995-01,33
1995-02,33
1995-03,33
1995-04,33
1995-05,33
1995-06,33
1995-07,33
1995-08,33
1995-09,39
1995-10,40.5
1995-11,40.5
1995-12,40.5
1996-01,40.5
1996-02,40.5
1996-03,40.5
1996-04,41
1996-05,41
1996-06,41.46
1996-07,41.83
1996-08,42.16
1996-09,42.59
1996-10,42.65
1996-11,42.73
1996-12,42.76
1997-01,42.8
1997-02,42.8
1997-03,42.8
1997-04,42.8
1997-05,42.8
1997-06,42.8
1997-07,42.8
1997-08,42.8
1997-09,42.8
1997-10,42.8
1997-11,42.8
1997-12,42.48
1998-01,39.9
1998-02,39.5
1998-03,39.5
1998-04,39.5
1998-05,39.5
1998-06,35.24
1998-07,33.55
1998-08,33.5
1998-09,31.33
1998-10,26.81
1998-11,26.91
1998-12,26.75
1999-01,26.78
1999-02,25.81
1999-03,25.83
1999-04,25.7
1999-05,25.08
1999-06,24.45
1999-07,24.48
1999-08,24.5
1999-09,24.53
1999-10,26.56
1999-11,31.19
1999-12,31.49
2000-01,31.5
2000-02,31.5
2000-03,31.5
2000-04,31.52
2000-05,31.84
2000-06,36.77
2000-07,40.6
2000-08,40.11
2000-09,38.08
2000-10,37.91
2000-11,41.99
2000-12,41.99
2001-01,41.99
2001-02,41.99
2001-03,43.47
2001-04,45
2001-05,46.32
2001-06,46.68
2001-07,46.75
2001-08,42.91
2001-09,38.8
2001-10,34.83
2001-11,33.11
2001-12,29.7
2002-01,27.48
2002-02,23.71
2002-03,23.37
2002-04,23.7
2002-05,23.79
2002-06,23.8943973082706
2002-07,25.1158440675084
2002-08,25.7045743286838
2002-09,26.0576882109838
2002-10,26.07
2002-11,26.1
2002-12,26.28
2003-01,26.71
2003-02,27.01
2003-03,27.86
2003-04,29.82
2003-05,30.62
2003-06,31.67
2003-07,33.02
2003-08,31.15
2003-09,24.2
2003-10,24.19
2003-11,22.61
2003-12,18.09
2004-01,16.61
2004-02,16.75
2004-03,17.29
2004-04,17.38
2004-05,16.53
2004-06,16.26
2004-07,16.22
2004-08,16.3
2004-09,16.34
2004-10,16.354
2004-11,16.37
2004-12,16.3775
2005-01,16.384
2005-02,16.4625
2005-03,16.515
2005-04,16.5375
2005-05,16.57
2005-06,15.8425
2005-07,15.1925
2005-08,14.708
2005-09,13.4325
2005-10,13.4325
2005-11,12.1975
2005-12,11.43
2006-01,11.066
2006-02,10.02
2006-03,9.57
2006-04,9.4
2006-05,9.45
2006-06,9.75
2006-07,9.894
2006-08,10.02
2006-09,10.0875
2006-10,10.086
2006-11,10.0825
2006-12,9.935
2007-01,9.674
2007-02,9.51
2007-03,9.3825
2007-04,9.376
2007-05,9.4075
2007-06,9.405
2007-07,9.45
2007-08,9.55
2007-09,9.58
2007-10,10
2007-11,10.3
2007-12,10.33
2008-01,10.44
2008-02,10.49
2008-03,10.58
2008-04,11.12
2008-05,12.77
2008-06,15.66
2008-07,17.92
2008-08,21.66
2008-09,23.21
2008-10,23.2
2008-11,23.25
2008-12,23.24
2009-01,23.54
2009-02,23.26
2009-03,23.79
2009-04,24.15
2009-05,24.18
2009-06,24.25
2009-07,24.28
2009-08,24.32
2009-09,24.32
2009-10,24.27
2009-11,23.48
2009-12,21.33
2010-01,18.07
2010-02,16.47
2010-03,14.11
2010-04,12.92
2010-05,12.51
2010-06,12.48
2010-07,12.45
2010-08,12.29
2010-09,12.19
2010-10,12.03
2010-11,11.98
2010-12,11.91
2011-01,11.8
2011-02,11.77
2011-03,11.75
2011-04,11.73
2011-05,10.87
2011-06,10.31
2011-07,10.13
2011-08,9.19
2011-09,9.18
2011-10,9.05
2011-11,9.04
2011-12,10.05
2012-01,10.56
2012-02,11.03
2012-03,11.93
2012-04,13.5
2012-05,16.23
2012-06,20.58
2012-07,21.61
2012-08,21.62
2012-09,21.78
2012-10,21.83
2012-11,21.16
2012-12,21.66
2013-01,21.66
2013-02,21.75
2013-03,21.63
2013-04,21.72
2013-05,21.71
2013-06,21.81
2013-07,21.81
2013-08,21.62
2013-09,20.48
2013-10,19.31
2013-11,18.35
2013-12,17.96
2014-01,18.56
2014-02,19.39
2014-03,21.65
2014-04,22.68
2014-05,22.7
2014-06,22.71
2014-07,23.22
2014-08,23.54
2014-09,23.83
2014-10,24.13
2014-11,24.17
2014-12,24.23
2015-01,24.26
2015-02,24.08
2015-03,24.02
2015-04,23.69
2015-05,23.61
2015-06,23.68
2015-07,23.71
2015-08,23.72
2015-09,23.78
2015-10,23.82
2015-11,23.08
2015-12,21.86
2016-01,21.51
2016-02,21.45
2016-03,21.41
2016-04,21.54
2016-05,21.56
2016-06,21.57
2016-07,21.54
2016-08,21.54
2016-09,21.63
2016-10,21.54
2016-11,19.84
2016-12,16.14
2017-01,15.53
2017-02,15.28
2017-03,16.2
2017-04,15.82
2017-05,13.23
2017-06,11.73
2017-07,11.96
2017-08,12.4
2017-09,12.77
2017-10,12.83
2017-11,12.85
2017-12,12.9
2018-01,12.91
2018-02,12.91
2018-03,12.93
2018-04,12.91
2018-05,12.92
2018-06,12.87
2018-07,12.89
2018-08,12.88
2018-09,12.94
2018-10,13.15
2018-11,13.87
2018-12,14.05
2019-01,14.14
2019-02,14.18
2019-03,14.19
2019-04,14.17
2019-05,14.31
2019-06,14.23
2019-07,14.21
2019-08,14.19
2019-09,14.17
2019-10,14.17
2019-11,14.17
2019-12,14.17
2020-01,14.17
2020-02,14.19
2020-03,14.2
2020-04,13.57
2020-05,13.481175
2020-06,13.5009
